eventId,eventName,eventDate,eventLink,eventNumTeams,eventPrize,eventLocation,eventType
7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier,Feb 23rd,/events/7578/pgl-cs2-major-copenhagen-2024-europe-last-chance-qualifier,6,Other,"Bucharest, Romania",Intl. LAN
7577,PGL CS2 Major Copenhagen 2024 Europe RMR B,Feb 19th,/events/7577/pgl-cs2-major-copenhagen-2024-europe-rmr-b,16,Other,"Bucharest, Romania",Intl. LAN
7551,IEM Katowice 2024 Play-in,Jan 31st,/events/7551/iem-katowice-2024-play-in,16,Other,"Katowice, Poland",Intl. LAN
7437,IEM Chengdu 2024,Apr 8th,/events/7437/iem-chengdu-2024,16,"$250,000","Chengdu, China",Intl. LAN
7435,IEM Katowice 2024,Feb 3rd,/events/7435/iem-katowice-2024,16,"$1,000,000","Katowice, Poland",Intl. LAN
7261,PGL CS2 Major Copenhagen 2024 Americas RMR,Mar 1st,/events/7261/pgl-cs2-major-copenhagen-2024-americas-rmr,16,Other,"Monterrey, Mexico",Intl. LAN
7260,PGL CS2 Major Copenhagen 2024 Asia RMR,Feb 26th,/events/7260/pgl-cs2-major-copenhagen-2024-asia-rmr,8,Other,"Shanghai, China",Intl. LAN
7259,PGL CS2 Major Copenhagen 2024 Europe RMR A,Feb 14th,/events/7259/pgl-cs2-major-copenhagen-2024-europe-rmr-a,16,Other,"Bucharest, Romania",Intl. LAN
7258,PGL CS2 Major Copenhagen 2024 Opening Stage,Mar 17th,/events/7258/pgl-cs2-major-copenhagen-2024-opening-stage,16,Other,"Copenhagen, Denmark",Major
7148,PGL CS2 Major Copenhagen 2024,Mar 21st,/events/7148/pgl-cs2-major-copenhagen-2024,16,"$1,250,000","Copenhagen, Denmark",Major
7082,BLAST.tv Paris Major 2023 Challengers Europe Last Chance Qualifier,Apr 14th,/events/7082/blasttv-paris-major-2023-challengers-europe-last-chance-qualifier,6,Other,"Copenhagen, Denmark",Intl. LAN
6980,BLAST.tv Paris Major 2023 Asia RMR,Apr 6th,/events/6980/blasttv-paris-major-2023-asia-rmr,8,Other,"Ulaanbaatar, Mongolia",Intl. LAN
6979,BLAST.tv Paris Major 2023 Americas RMR,Apr 6th,/events/6979/blasttv-paris-major-2023-americas-rmr,16,Other,"Monterrey, Mexico",Intl. LAN
6978,BLAST.tv Paris Major 2023 Europe RMR B,Apr 11th,/events/6978/blasttv-paris-major-2023-europe-rmr-b,16,Other,"Copenhagen, Denmark",Intl. LAN
6977,BLAST.tv Paris Major 2023 Europe RMR A,Apr 6th,/events/6977/blasttv-paris-major-2023-europe-rmr-a,16,Other,"Copenhagen, Denmark",Intl. LAN
6921,ESL Impact Katowice 2023,Feb 10th,/events/6921/esl-impact-katowice-2023,8,"$100,000","Katowice, Poland",Intl. LAN
6869,ESL Challenger Atlanta 2023,Dec 15th,/events/6869/esl-challenger-atlanta-2023,8,"$100,000","Atlanta, GA, US",Intl. LAN
6868,ESL Challenger Jönköping 2023,Nov 24th,/events/6868/esl-challenger-jnkping-2023,8,"$100,000","Jönköping, Sweden",Intl. LAN
6867,ESL Challenger Katowice 2023,Jun 9th,/events/6867/esl-challenger-katowice-2023,8,"$100,000","Katowice, Poland",Intl. LAN
6866,ESL Challenger Melbourne 2023,Apr 28th,/events/6866/esl-challenger-melbourne-2023,8,"$100,000","Melbourne, Australia",Intl. LAN
6865,IEM Sydney 2023,Oct 16th,/events/6865/iem-sydney-2023,16,"$250,000","Sydney, Australia",Intl. LAN
6864,IEM Rio 2023,Apr 17th,/events/6864/iem-rio-2023,16,"$250,000","Rio de Janeiro, Brazil",Intl. LAN
6861,IEM Dallas 2023,May 29th,/events/6861/iem-dallas-2023,16,"$250,000","Dallas, TX, US",Intl. LAN
6812,IEM Cologne 2023 Play-in,Jul 26th,/events/6812/iem-cologne-2023-play-in,16,Other,"Cologne, Germany",Intl. LAN
6811,IEM Cologne 2023,Jul 29th,/events/6811/iem-cologne-2023,16,"$1,000,000","Cologne, Germany",Intl. LAN
6810,IEM Katowice 2023 Play-in,Feb 1st,/events/6810/iem-katowice-2023-play-in,16,Other,"Katowice, Poland",Intl. LAN
6809,IEM Katowice 2023,Feb 4th,/events/6809/iem-katowice-2023,16,"$1,000,000","Katowice, Poland",Intl. LAN
6794,BLAST.tv Paris Major 2023 Challengers Stage,May 8th,/events/6794/blasttv-paris-major-2023-challengers-stage,16,Other,"Paris, France",Major
6793,BLAST.tv Paris Major 2023,May 13th,/events/6793/blasttv-paris-major-2023,16,"$1,250,000","Paris, France",Major
