id,name,rating
21167,Danil 'donk' Kryshkovets,1.49
20312,Dorian 'xertioN' Berman,1.42
16920,Dmitry 'sh1ro' Sokolov,1.49
14148,Rasmus 'sjuush' Beck,1.23
11777,Pavle 'Maden' Bošković,1.55
20709,Evgeny 'r3salt' Frolov,0.81
21167,Danil 'donk' Kryshkovets,1.81
18072,Ádám 'torzsi' Torzsás,2.02
21667,Kirill 'Magnojez' Rodnov,1.34
14148,Rasmus 'sjuush' Beck,1.75
16920,Dmitry 'sh1ro' Sokolov,1.43
20101,Petr 'fame' Bolyshev,1.36
18850,Jimi 'Jimpphat' Salo,1.52
12822,Vinicius 'VINI' Figueiredo,1.73
20085,Kaue 'kauez' Kaschuk,1.56
21037,Felipe 'insani' Yuji,1.99
8565,Henrique 'HEN1' Teles,1.11
21239,Antonio 'MartinezSa' Martinez,1.35
11154,Raphael 'exit' Lacerda,1.34
19733,Sergiy 'DemQQ' Demchenko,1.73
13669,Jack 'Jackinho' Ström Mattsson,1.28
20085,Kaue 'kauez' Kaschuk,1.24
22564,Kaiky 'noway' Santos,1.91
18835,Rafael 'saffee' Costa,2.46
2023,Gabriel 'FalleN' Toledo,1.04
9219,João 'felps' Vasconcellos,1.36
20282,Szymon 'kRaSnaL' Mrozek,1.14
11630,Johnny 'JT' Theodosiou,1.35
21815,Paavo 'podi' Heiskanen,1.02
19882,Evgeny 'Norwi' Ermolin,1.25
20903,Munkhbold 'Senzu' Azbayar,1.19
13578,Michael 'Grim' Wince,1.06
17353,Danny 'cxzi' Strzelczyk,0.87
11154,Raphael 'exit' Lacerda,1.48
12840,Håkon 'hallzerk' Fjærli,1.18
20903,Munkhbold 'Senzu' Azbayar,1.13
12731,Viktor 'sdy' Orudzhev,1.42
12840,Håkon 'hallzerk' Fjærli,2.07
20113,Denis 'deko' Zhukov,1.46
20275,Sodbayar 'Techno' Munkhbold,1.79
21037,Felipe 'insani' Yuji,1.49
21715,Alan 'Flayy' Krupa,0.98
8248,Joakim 'jkaem' Myrbostad,1.34
19236,Aleksandr 'KENSI' Gurkin,1.68
21037,Felipe 'insani' Yuji,1.78
