teamOneWon,teamTwoWon,map2Team1SideBothPlayer1PlusMinus,map2Team1SideBothPlayer1Rating,map2Team1SideBothPlayer2PlusMinus,map2Team1SideBothPlayer2Rating,map2Team1SideBothPlayer3PlusMinus,map2Team1SideBothPlayer3Rating,map2Team1SideBothPlayer4PlusMinus,map2Team1SideBothPlayer4Rating,map2Team1SideBothPlayer5PlusMinus,map2Team1SideBothPlayer5Rating,map2Team2SideBothPlayer1PlusMinus,map2Team2SideBothPlayer1Rating,map2Team2SideBothPlayer2PlusMinus,map2Team2SideBothPlayer2Rating,map2Team2SideBothPlayer3PlusMinus,map2Team2SideBothPlayer3Rating,map2Team2SideBothPlayer4PlusMinus,map2Team2SideBothPlayer4Rating,map2Team2SideBothPlayer5PlusMinus,map2Team2SideBothPlayer5Rating
True,False,8,1.62,6,1.6,6,1.47,2,1.44,1,1.18,-1,0.95,-7,0.66,-4,0.61,-4,0.56,-7,0.5
False,True,-7,0.73,-6,0.65,-9,0.54,-9,0.53,-7,0.5,16,2.08,12,1.76,4,1.35,5,1.28,0,1.08
True,False,8,1.56,4,1.41,5,1.23,6,1.2,0,0.93,-4,1.0,-3,0.95,-5,0.9,-2,0.82,-11,0.4
False,True,-2,0.87,-3,0.83,-5,0.78,-9,0.65,-7,0.64,10,1.7,5,1.33,4,1.19,6,1.19,0,1.07
True,False,9,1.46,5,1.32,1,1.12,0,0.93,-3,0.88,3,1.2,-6,1.07,0,0.96,-5,0.77,-5,0.65
True,False,10,1.7,11,1.59,1,1.27,2,1.23,-2,1.07,0,1.08,-3,0.95,-5,0.85,-5,0.83,-9,0.49
False,True,1,1.15,-1,1.07,1,0.97,-6,0.93,-10,0.58,7,1.51,2,1.45,5,1.24,0,1.15,-1,1.01
False,True,4,1.21,-1,1.17,-3,1.08,-3,0.88,-5,0.84,6,1.43,7,1.33,2,1.18,-1,1.15,-8,0.66
True,False,7,1.47,5,1.45,0,1.07,3,1.05,-3,0.99,5,1.25,-1,1.08,-6,0.9,-4,0.9,-7,0.67
False,True,0,1.0,-2,0.93,-7,0.91,-3,0.81,-11,0.53,11,1.91,13,1.66,2,1.21,-3,1.07,-1,0.93
True,False,10,1.53,2,1.3,1,1.22,1,1.18,1,1.07,7,1.39,0,1.19,-1,1.07,-7,0.63,-14,0.4
True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,6,1.68,10,1.22,2,0.96,-5,0.72,-14,0.49,1,1.22,1,1.17,5,1.06,-2,0.95,-4,0.91
False,True,-3,1.02,-6,0.82,-3,0.81,-6,0.79,-7,0.56,14,1.79,9,1.57,6,1.46,3,1.16,-10,0.75
True,False,11,1.59,0,1.14,5,1.1,0,1.04,-6,0.94,1,1.24,6,1.23,-4,0.9,-3,0.86,-10,0.62
True,False,8,1.27,0,1.16,2,1.11,-3,1.02,-4,0.9,3,1.33,6,1.18,-1,1.07,-2,0.96,-11,0.8
True,False,16,1.84,6,1.26,-1,1.12,-5,1.03,-7,0.7,6,1.38,0,1.18,-1,1.0,-2,0.91,-12,0.58
False,True,1,1.17,-8,0.75,-5,0.75,-6,0.65,-10,0.45,5,1.56,12,1.54,6,1.48,5,1.46,0,1.01
True,False,8,1.57,-1,1.21,4,1.15,-1,1.07,-4,0.88,8,1.42,0,0.9,-3,0.87,-4,0.82,-7,0.79
