eventId,eventName,eventDate,eventLink,eventNumTeams,eventPrize,eventLocation,eventType
7921,Liga Gamers Club 2024 Serie A June Cup,Jun 20th,/events/7921/liga-gamers-club-2024-serie-a-june-cup,2+,"$2,000",South America (Online),Online
7919,Dust2 Brasil Liga BC.Game Season 3,Jun 17th,/events/7919/dust2-brasil-liga-bcgame-season-3,6+,"$10,740",South America (Online),Online
7918,ESL Impact Spring 2024 Cash Cup 5 Europe,Jun 16th,/events/7918/esl-impact-spring-2024-cash-cup-5-europe,2+,"$1,000",Europe (Online),Online
7917,ESL Impact Spring 2024 Cash Cup 5 North America,Jun 16th,/events/7917/esl-impact-spring-2024-cash-cup-5-north-america,2+,"$1,000",North America (Online),Online
7916,DreamHack Summer 2024,Jun 16th,/events/7916/dreamhack-summer-2024,2+,"$7,139","Jönköping, Sweden",Local LAN
7915,ESL Impact Spring 2024 Cash Cup 5 South America,Jun 15th,/events/7915/esl-impact-spring-2024-cash-cup-5-south-america,2+,"$1,000",South America (Online),Online
7914,United21 League Season 16,Jun 16th,/events/7914/united21-league-season-16,4+,"$10,000",Europe (Online),Online
7913,DACH Masters Season 1 Finals,Jun 15th,/events/7913/dach-masters-season-1-finals,2,"$1,350","Cologne, Germany",Local LAN
7900,Skyesports Championship 2024 Europe Closed Qualifier,Jun 12th,/events/7900/skyesports-championship-2024-europe-closed-qualifier,8,Other,Europe (Online),Online
7898,CCT Season 2 Europe Series 6 Closed Qualifier,Jun 11th,/events/7898/cct-season-2-europe-series-6-closed-qualifier,16,Other,Europe (Online),Online
7897,Regional Clash Arena CIS 2024,Jun 13th,/events/7897/regional-clash-arena-cis-2024,8+,"$60,000",Europe (Online),Online
7896,POWER Ligaen Season 26,Jun 12th,/events/7896/power-ligaen-season-26,4+,"$11,526",Denmark (Online),Online
7895,IEM Cologne 2024 Germany Open Qualifier,Jun 11th,/events/7895/iem-cologne-2024-germany-open-qualifier,2+,Other,Germany (Online),Online
7894,MÖÖ Lan 2024,Jun 8th,/events/7894/m-lan-2024,4+,"$10,077","Tallinn, Estonia",Reg. LAN
7893,1xBet FRAG Season 11,Jun 8th,/events/7893/1xbet-frag-season-11,4+,"$14,000","Tashkent, Uzbekistan",Reg. LAN
7892,SubZero E-games 2024,Jun 9th,/events/7892/subzero-e-games-2024,4+,"$13,003","Östersund, Sweden",Reg. LAN
7891,FASTCUP Aurora 2024,Jun 8th,/events/7891/fastcup-aurora-2024,4+,"$2,000",Europe (Online),Online
7890,RedZone PRO League 2024 Season 3,Jun 10th,/events/7890/redzone-pro-league-2024-season-3,2+,"$1,885",Brazil (Online),Online
7889,XP Game Fest 2024,Jun 7th,/events/7889/xp-game-fest-2024,8,"$10,876","Pristina, Kosovo",Intl. LAN
7888,Aorus League Latam 2024 Season 1 Finals,Jun 5th,/events/7888/aorus-league-latam-2024-season-1-finals,2,"$3,000","Buenos Aires, Argentina",Local LAN
7887,Regional Clash Arena South America 2024,Jun 6th,/events/7887/regional-clash-arena-south-america-2024,16,"$60,000",South America (Online),Online
7886,Regional Clash Arena Europe 2024,Jun 6th,/events/7886/regional-clash-arena-europe-2024,16,"$60,000",Europe (Online),Online
7885,CCT Season 2 North America Series 1,Jun 3rd,/events/7885/cct-season-2-north-america-series-1,24,"$20,000",North America (Online),Online
7884,RES Regional Series 5 Europe,Jun 4th,/events/7884/res-regional-series-5-europe,16,"$100,000",Europe (Online),Online
7883,Pelaajat Series Summer 2024,Jun 2nd,/events/7883/pelaajat-series-summer-2024,4+,Other,Finland (Online),Online
7882,Thunderpick World Championship 2024 NA Closed Qualifier 2,Jun 4th,/events/7882/thunderpick-world-championship-2024-na-closed-qualifier-2,16,"$25,000",North America (Online),Online
7859,UKIC League Spring 2024,May 28th,/events/7859/ukic-league-spring-2024,6+,"$2,862",United Kingdom (Online),Online
7858,LuckyCasino Stadskampen Spring 2024,May 26th,/events/7858/luckycasino-stadskampen-spring-2024,2+,"$3,720",Sweden (Online),Online
7857,ESL Impact Spring 2024 Cash Cup 4 Europe,May 26th,/events/7857/esl-impact-spring-2024-cash-cup-4-europe,2+,"$1,000",Europe (Online),Online
7856,CCT Season 2 South America Series 1,May 27th,/events/7856/cct-season-2-south-america-series-1,24,"$20,000",South America (Online),Online
7855,ESL Impact Spring 2024 Cash Cup 4 South America,May 26th,/events/7855/esl-impact-spring-2024-cash-cup-4-south-america,2+,"$1,000",South America (Online),Online
7854,Esportal Skolkampen Spring 2024,May 25th,/events/7854/esportal-skolkampen-spring-2024,4+,"$4,650","Stockholm, Sweden",Local LAN
7853,TippmixPro Masters Spring 2024 Finals,May 25th,/events/7853/tippmixpro-masters-spring-2024-finals,4,"$4,525","Budapest, Hungary",Local LAN
7852,CCT Season 2 Europe Series 5,Jun 3rd,/events/7852/cct-season-2-europe-series-5,24,"$50,000",Europe (Online),Online
7851,CCT Season 2 Europe Series 5 Closed Qualifier,Jun 1st,/events/7851/cct-season-2-europe-series-5-closed-qualifier,8+,Other,Europe (Online),Online
7850,Comic Con Baltics 2024 Finals,May 26th,/events/7850/comic-con-baltics-2024-finals,2,"$2,373","Vilnius, Lithuania",Local LAN
7849,Thunderpick World Championship 2024 NA Fe Closed Qualifier,May 26th,/events/7849/thunderpick-world-championship-2024-na-fe-closed-qualifier,4,"$5,000",North America (Online),Online
7848,Dust2 India 1xBet Masters 10,May 26th,/events/7848/dust2-india-1xbet-masters-10,4,"$1,500",India (Online),Online
7846,RES Season 7,May 25th,/events/7846/res-season-7,4,Other,Europe (Online),Online
7845,RES European Masters 2 Fall 2024 - BLAST Premier Qualifier,Jun 7th,/events/7845/res-european-masters-2-fall-2024-blast-premier-qualifier,8,Other,Europe (Online),Online
7844,RES European Masters 1 Fall 2024 - BLAST Premier Qualifier,May 31st,/events/7844/res-european-masters-1-fall-2024-blast-premier-qualifier,8,Other,Europe (Online),Online
7843,European Pro League Season 16,May 20th,/events/7843/european-pro-league-season-16,16,"$20,000",Europe (Online),Online
7842,YGames Pro Series 2024,May 20th,/events/7842/ygames-pro-series-2024,18,"$22,879",Europe (Online),Online
7841,Thunderpick World Championship 2024 NA Closed Qualifier 1,May 19th,/events/7841/thunderpick-world-championship-2024-na-closed-qualifier-1,16,"$25,000",North America (Online),Online
7840,Tradeit League FE Masters Season 3,May 18th,/events/7840/tradeit-league-fe-masters-season-3,8+,"$2,800",Europe (Online),Online
7839,Tipsport Spring Cup 2024 Finals,May 31st,/events/7839/tipsport-spring-cup-2024-finals,4,"$12,844","Prague, Czech Republic",Reg. LAN
7838,Svenska Elitserien Spring 2024 Finals,Jun 13th,/events/7838/svenska-elitserien-spring-2024-finals,4,"$22,263","Jönköping, Sweden",Local LAN
7837,CCT Season 2 Europe Series 4,May 20th,/events/7837/cct-season-2-europe-series-4,22,"$50,000",Europe (Online),Online
7836,CCT Season 2 Europe Series 4 Closed Qualifier,May 13th,/events/7836/cct-season-2-europe-series-4-closed-qualifier,16,Other,Europe (Online),Online
